,location,total_sqft,bath,price,bhk
7623,Parappana Agrahara,1200.0,1.0,45.0,1
7624,Bhoganhalli,1260.0,2.0,69.9,2
7625,Other,1092.0,2.0,49.0,2
7626,Other,827.0,2.0,34.0,2
7627,Horamavu Banaswadi,1357.0,2.0,54.0,2
7628,Chamrajpet,650.0,1.0,40.0,2
7629,7th Phase JP Nagar,1370.0,2.0,54.79,3
7630,Whitefield,1725.0,3.0,106.0,3
7631,Jalahalli,1000.0,2.0,70.0,2
7632,TC Palaya,1350.0,1.0,55.0,1
7633,Bellandur,1717.0,3.0,110.0,3
7634,Kanakpura Road,700.0,2.0,34.0,2
7635,Other,800.0,2.0,32.0,2
7636,Sonnenahalli,1415.0,2.0,65.0,3
7637,7th Phase JP Nagar,1976.0,3.0,145.0,3
7638,Kambipura,883.0,2.0,37.01,2
7639,Yelahanka,700.0,1.0,38.0,1
7640,Sarjapur,1445.0,3.0,50.0,3
7641,Battarahalli,2082.0,3.0,104.0,3
7642,HSR Layout,1140.0,2.0,46.0,2
7643,Thanisandra,933.0,2.0,66.0,2
7644,Electronic City Phase II,1155.0,2.0,57.0,2
7645,Whitefield,1130.0,2.0,36.0,2
7646,Bannerghatta,1200.0,2.0,73.2,2
7647,Other,1055.0,2.0,43.0,2
7648,Bellandur,1420.0,3.0,62.0,3
7649,Devanahalli,658.0,1.0,26.91,1
7650,KR Puram,1035.0,2.0,40.0,2
7651,Begur Road,1200.0,2.0,44.0,2
7652,Yelahanka New Town,488.0,1.0,20.0,1
7653,Other,2760.0,5.0,140.0,5
7654,Other,993.0,2.0,42.0,2
7655,Hoodi,1225.0,2.0,45.0,2
7656,TC Palaya,900.0,2.0,55.0,2
7657,Sompura,825.0,2.0,32.0,2
7658,Electronic City Phase II,1800.0,3.0,92.0,3
7659,Kanakpura Road,1167.0,2.0,63.0,2
7660,Sarjapur,1150.0,2.0,41.0,2
7661,Other,650.0,1.0,50.0,1
7662,Sarjapur  Road,675.0,1.0,27.0,1
7663,Other,720.0,1.0,32.39,1
7664,Yelahanka New Town,1100.0,2.0,58.0,2
7665,Uttarahalli,1330.0,2.0,58.0,3
7666,Other,2400.0,5.0,75.0,6
7667,Banashankari,1770.0,3.0,108.0,3
7668,Prithvi Layout,2100.0,3.0,125.0,3
7669,Pai Layout,1000.0,2.0,42.0,2
7670,Kanakpura Road,1419.59,2.0,65.0,3
7671,Kodihalli,1400.0,3.0,81.0,3
7672,Horamavu Agara,750.0,2.0,37.49,2
7673,Kannamangala,1536.0,3.0,107.0,3
7674,Sarjapur  Road,1773.5,2.0,102.92,3
7675,Electronic City,1342.0,2.0,72.0,2
7676,Kanakapura,938.0,1.0,50.0,1
7677,Budigere,1820.0,3.0,99.0,3
7678,Bhoganhalli,2439.0,4.0,170.0,4
7679,Kanakpura Road,1665.0,3.0,78.0,3
7680,Bommanahalli,1091.0,2.0,40.0,2
7681,Sarjapur  Road,1346.0,2.0,74.03,2
7682,Brookefield,3675.0,4.0,176.0,4
7683,JP Nagar,1060.0,2.0,33.95,2
7684,Whitefield,1059.0,2.0,57.0,2
7685,Hebbal,1299.0,2.0,97.0,2
7686,Yelahanka,1491.0,3.0,85.0,3
7687,Basaveshwara Nagar,1200.0,2.0,85.0,2
7688,Hulimavu,581.0,1.0,29.0,1
7689,Other,1296.0,2.0,70.0,2
7690,Other,1125.0,2.0,55.0,2
7691,Electronic City,1275.0,3.0,70.0,3
7692,Kothanur,1095.0,2.0,55.0,2
7693,Old Madras Road,1330.0,2.0,74.0,2
7694,Marathahalli,1135.0,2.0,60.0,2
7695,Whitefield,516.0,1.0,39.0,1
7696,Other,1194.0,2.0,51.0,2
7697,Electronic City,770.0,1.0,38.0,2
7698,Chikkalasandra,1355.0,3.0,54.2,3
7699,Harlur,2569.0,4.0,175.0,4
7700,Whitefield,1116.0,2.0,51.91,2
7701,Bhoganhalli,1707.0,3.0,115.0,3
7702,Sultan Palaya,1070.0,2.0,49.0,2
7703,Whitefield,6000.0,4.0,410.0,4
7704,Tumkur Road,1240.0,2.0,83.0,3
7705,JP Nagar,1300.0,2.0,91.65,2
7706,Ambalipura,1700.0,2.0,76.0,2
7707,Yeshwanthpur,1383.0,2.0,76.18,3
7708,Other,3000.0,4.0,170.0,5
7709,Hulimavu,935.0,2.0,45.0,2
7710,Jalahalli,615.0,1.0,46.0,1
7711,KR Puram,1116.0,2.0,45.0,2
7712,Whitefield,1639.0,3.0,107.0,3
7713,Marathahalli,1839.0,3.0,130.0,3
7714,Other,1300.0,2.0,63.0,2
7715,Horamavu Agara,625.0,1.0,27.0,1
7716,Thanisandra,933.0,1.0,61.0,1
7717,Hosur Road,2289.0,3.0,180.0,3
7718,Ramamurthy Nagar,2316.0,3.0,125.0,3
7719,Electronic City,1005.0,2.0,39.77,2
7720,Horamavu Agara,1080.0,2.0,38.0,2
7721,Vishwapriya Layout,910.0,2.0,36.0,2
7722,Hormavu,1200.0,2.0,73.0,2
7723,Electronic City,1110.0,2.0,39.9,2
7724,Kothanur,1142.0,2.0,56.0,2
7725,2nd Stage Nagarbhavi,4000.0,4.0,240.0,5
7726,AECS Layout,1005.0,2.0,55.0,2
7727,Kothanur,1074.0,2.0,54.0,2
7728,Basavangudi,1230.0,2.0,80.0,2
7729,Electronic City,660.0,1.0,23.0,2
7730,Other,1007.0,2.0,48.0,2
7731,Whitefield,1820.0,3.0,113.0,3
7732,Other,1100.0,2.0,60.0,2
7733,Other,1348.0,2.0,100.0,2
7734,Kasavanhalli,1230.0,2.0,66.25,2
7735,Horamavu Agara,1176.0,2.0,37.62,3
7736,Uttarahalli,1590.0,3.0,57.0,3
7737,Frazer Town,1200.0,2.0,78.0,2
7738,Other,1298.0,2.0,65.0,2
7739,Hosa Road,1161.0,2.0,55.15,2
7740,Kothanur,1285.0,2.0,60.0,2
7741,Electronic City,1644.0,3.0,92.59,3
7742,1st Phase JP Nagar,1205.0,2.0,85.0,2
7743,Uttarahalli,1050.0,2.0,42.0,2
7744,Raja Rajeshwari Nagar,1270.0,2.0,62.0,2
7745,9th Phase JP Nagar,1240.0,2.0,39.89,3
7746,Jigani,1221.0,3.0,70.0,3
7747,Kanakpura Road,1339.0,2.0,63.0,2
7748,Haralur Road,1315.0,2.0,85.0,2
7749,Raja Rajeshwari Nagar,1250.0,2.0,68.0,2
7750,Bisuvanahalli,850.0,2.0,27.0,2
7751,7th Phase JP Nagar,1600.0,2.0,110.0,3
7752,Electronic City,1250.0,2.0,62.0,2
7753,Other,1312.0,2.0,56.5,3
7754,Kadugodi,3000.0,4.0,134.0,4
7755,Whitefield,1990.0,3.0,98.0,3
7756,Other,760.0,2.0,38.5,2
7757,Kadugodi,1614.0,2.0,59.0,3
7758,Other,1182.0,2.0,60.1,3
7759,Other,1053.0,2.0,46.29,2
7760,Gubbalala,2000.0,3.0,125.0,3
7761,Hennur Road,1590.0,3.0,105.0,3
7762,Other,1035.0,2.0,52.79,2
7763,Kothanur,1075.0,2.0,53.0,2
7764,TC Palaya,900.0,2.0,55.0,2
7765,Raja Rajeshwari Nagar,1260.0,2.0,62.0,3
7766,Thanisandra,1702.0,3.0,107.0,3
7767,Bisuvanahalli,1080.0,2.0,65.0,3
7768,Kasavanhalli,1189.0,2.0,45.0,2
7769,Tumkur Road,1035.0,2.0,39.0,2
7770,Hennur Road,1200.0,2.0,36.0,2
7771,Kanakpura Road,1300.0,3.0,69.0,3
7772,Yelahanka,1330.0,2.0,93.65,2
7773,Kaggalipura,1210.0,2.0,65.0,3
7774,Chikkalasandra,1350.0,2.0,54.2,3
7775,Kaval Byrasandra,1900.0,2.0,65.0,3
7776,Other,1410.0,3.0,90.0,3
7777,Narayanapura,1469.0,2.0,99.14,2
7778,Varthur,986.0,2.0,30.0,2
7779,Other,1460.0,2.0,87.0,3
7780,Other,1260.0,2.0,85.05,3
7781,Chandapura,1345.0,2.0,39.5,3
7782,Panathur,980.0,2.0,57.0,2
7783,Kudlu Gate,1164.0,2.0,75.0,2
7784,Subramanyapura,929.0,1.0,51.0,2
7785,Kundalahalli,1065.0,2.0,70.0,2
7786,Budigere,1172.0,2.0,56.725,2
7787,Electronic City,1020.0,2.0,30.27,2
7788,Gunjur,1362.0,3.0,62.63,3
7789,Yeshwanthpur,672.0,1.0,36.85,1
7790,Brookefield,1746.0,3.0,115.0,3
7791,Harlur,1532.0,2.0,65.0,2
7792,Other,1250.0,2.0,65.0,2
7793,Thanisandra,1188.0,2.0,39.0,2
7794,Whitefield,3565.0,4.0,218.0,4
7795,Marathahalli,1170.0,2.0,85.0,2
7796,Other,1000.0,2.0,35.0,2
7797,Kasturi Nagar,2507.0,4.0,155.0,4
7798,Babusapalaya,1061.0,2.0,34.0,2
7799,KR Puram,1290.0,2.0,69.0,2
7800,Sarjapur,1200.0,2.0,42.6,2
7801,Bharathi Nagar,1120.0,2.0,39.29,2
7802,Sarjapur,1333.0,3.0,50.0,3
7803,Sarjapur  Road,1691.0,3.0,119.0,3
7804,Thanisandra,747.0,1.0,34.355,1
7805,Balagere,1012.0,2.0,70.0,2
7806,Kudlu,1245.0,2.0,60.0,3
7807,7th Phase JP Nagar,1765.0,3.0,118.0,3
7808,Gottigere,1110.0,2.0,36.25,2
7809,Other,967.0,2.0,47.8,2
7810,Sarjapur,1044.0,2.0,36.0,2
7811,Brookefield,1518.0,3.0,80.0,3
7812,KR Puram,1300.0,2.0,57.0,3
7813,Other,1798.0,3.0,73.0,3
7814,KR Puram,866.28,2.0,36.38,2
7815,Singasandra,1179.0,2.0,56.0,2
7816,Uttarahalli,1125.0,2.0,48.0,2
7817,Haralur Road,1976.0,3.0,92.0,3
7818,5th Phase JP Nagar,1190.0,2.0,61.8,2
7819,Jakkur,1761.0,3.0,84.52,3
7820,Cooke Town,1700.0,3.0,120.0,3
7821,Electronic City,1128.0,2.0,64.8,2
7822,Other,2000.0,3.0,85.0,3
7823,Other,509.0,1.0,20.0,1
7824,Varthur,1045.0,2.0,40.65,2
7825,Other,3535.0,4.0,215.0,4
7826,Marathahalli,1102.0,2.0,53.67,2
7827,Other,1800.0,3.0,82.0,4
7828,Hebbal Kempapura,1436.0,2.0,75.0,3
7829,Other,1397.0,2.0,52.0,3
7830,Kothanur,1140.0,2.0,56.0,2
7831,Other,2050.0,3.0,135.0,3
7832,Sarjapur  Road,1335.0,2.0,95.0,2
7833,Hebbal,1255.0,3.0,77.68,3
7834,Thanisandra,1140.0,2.0,59.0,2
7835,Thanisandra,663.0,1.0,46.0,1
7836,Kanakpura Road,1450.0,3.0,60.9,3
7837,Kodichikkanahalli,1400.0,3.0,66.0,3
7838,Other,1339.0,2.0,53.56,2
7839,Other,1305.0,2.0,52.0,2
7840,Green Glen Layout,1740.0,3.0,80.0,3
7841,Anekal,680.0,1.0,21.0,2
7842,Bannerghatta Road,1154.0,2.0,47.0,2
7843,Munnekollal,1200.0,2.0,40.0,2
7844,Hennur,1155.0,2.0,54.5,2
7845,Sarjapur  Road,1525.0,2.0,63.0,3
7846,Padmanabhanagar,1100.0,2.0,60.0,2
7847,Hormavu,1250.0,2.0,65.0,2
7848,Kothanur,1400.0,2.0,70.0,2
7849,Other,1600.0,3.0,100.0,3
7850,Electronic City,1060.0,2.0,55.0,2
7851,Horamavu Banaswadi,1272.0,2.0,50.0,2
7852,Karuna Nagar,1945.0,3.0,115.0,3
7853,Chandapura,1033.0,2.0,30.47,3
7854,Other,2300.0,2.0,69.0,3
7855,Other,1235.0,2.0,52.76,2
7856,Other,850.0,2.0,42.5,2
7857,Subramanyapura,1880.0,3.0,110.0,3
7858,Kenchenahalli,1060.0,2.0,52.0,2
7859,Hennur Road,2041.0,3.0,138.0,3
7860,Vasanthapura,1037.0,2.0,36.28,2
7861,Other,1150.0,2.0,39.0,2
7862,LB Shastri Nagar,1184.0,2.0,62.0,2
7863,Sarjapur  Road,1680.0,3.0,126.0,3
7864,Thanisandra,1411.0,3.0,100.0,3
7865,Kanakpura Road,900.0,2.0,41.0,2
7866,Thanisandra,1702.0,3.0,120.0,3
7867,Yelahanka,1185.0,2.0,45.0,2
7868,Kanakpura Road,1300.0,3.0,64.0,3
7869,Other,1545.0,3.0,65.0,3
7870,Jigani,1300.0,3.0,55.0,3
7871,JP Nagar,1107.0,2.0,57.0,2
7872,Old Madras Road,1720.0,3.0,106.0,3
7873,Bannerghatta Road,1000.0,2.0,44.5,2
7874,Electronic City,710.0,1.0,40.42,1
7875,Thanisandra,1100.0,2.0,38.0,2
7876,Bannerghatta Road,1250.0,2.0,48.0,2
7877,Kaggadasapura,2400.0,4.0,130.0,5
7878,Hegde Nagar,1584.01,3.0,104.0,3
7879,Kaggadasapura,1485.0,2.0,70.0,3
7880,Hennur Road,1100.0,2.0,78.0,3
7881,8th Phase JP Nagar,1245.0,2.0,59.0,2
7882,Other,1050.0,2.0,45.0,2
7883,Bannerghatta Road,1640.0,3.0,105.0,3
7884,Other,1165.0,2.0,65.0,2
7885,Kengeri Satellite Town,1110.0,2.0,43.0,2
7886,Uttarahalli,4500.0,4.0,150.0,4
7887,Haralur Road,1300.0,2.0,75.0,2
7888,Other,1200.0,1.0,42.0,2
7889,Hennur Road,1232.0,2.0,69.61,2
7890,Jalahalli,1704.0,3.0,94.36,3
7891,7th Phase JP Nagar,1275.0,2.0,88.0,3
7892,Sarjapur  Road,1222.0,2.0,68.0,3
7893,Varthur,1155.0,2.0,39.0,2
7894,Electronic City,1000.0,2.0,29.95,2
7895,Horamavu Banaswadi,1200.0,2.0,45.0,2
7896,Yelahanka,1517.0,3.0,71.28,3
7897,Horamavu Agara,1166.0,2.0,37.29,2
7898,5th Phase JP Nagar,4000.0,5.0,170.0,5
7899,Whitefield,1345.0,3.0,58.0,3
7900,Chandapura,971.0,2.0,38.0,3
7901,Hennur,1255.0,2.0,52.32,2
7902,EPIP Zone,1810.0,2.0,65.0,2
7903,Other,1300.0,2.0,58.0,2
7904,Thanisandra,1185.0,2.0,45.0,2
7905,Pattandur Agrahara,1350.0,2.0,68.0,2
7906,Budigere,1590.0,3.0,76.16,3
7907,Somasundara Palya,1650.0,3.0,126.0,3
7908,Other,1645.0,3.0,87.0,3
7909,Hennur Road,1748.0,3.0,103.0,3
7910,Channasandra,1200.0,3.0,67.77,3
7911,Kengeri Satellite Town,1170.0,2.0,50.0,2
7912,Sarjapur  Road,3420.0,4.0,225.0,4
7913,Hulimavu,1320.0,2.0,65.0,3
7914,Bhoganhalli,1610.0,3.0,84.53,3
7915,Sarjapur  Road,1510.0,2.0,110.0,3
7916,Other,1305.0,2.0,45.68,3
7917,Mahadevpura,1500.0,2.0,70.0,3
7918,Thanisandra,1948.0,4.0,129.0,4
7919,Margondanahalli,1448.0,3.0,70.0,3
7920,Sarjapur  Road,1242.0,2.0,78.0,2
7921,Sonnenahalli,1268.0,2.0,58.0,2
7922,Ramamurthy Nagar,1101.0,2.0,50.0,2
7923,Other,1255.0,2.0,65.0,2
7924,Gunjur,1362.0,3.0,62.63,3
7925,Hosa Road,1089.0,2.0,32.67,2
7926,Uttarahalli,1345.0,2.0,57.0,3
7927,Kaggalipura,950.0,2.0,45.0,2
7928,HBR Layout,1068.0,2.0,43.0,2
7929,Yelahanka New Town,860.0,1.0,31.0,2
7930,Yelahanka,1756.0,3.0,66.73,3
7931,Whitefield,1205.0,2.0,41.0,2
7932,Banashankari,1800.0,3.0,125.0,3
7933,Hormavu,1604.0,3.0,68.0,3
7934,Old Airport Road,2732.0,4.0,204.0,4
7935,Banashankari,1200.0,2.0,42.0,3
7936,Ananth Nagar,1010.0,2.0,38.0,2
7937,Doddakallasandra,1010.0,2.0,41.0,2
7938,Yelahanka,1050.0,2.0,33.1,2
7939,Harlur,1710.0,3.0,85.0,3
7940,Bannerghatta Road,1656.0,2.0,62.93,3
7941,Other,1451.0,3.0,68.0,3
7942,JP Nagar,1250.0,2.0,93.0,2
7943,Other,4395.0,3.0,240.0,3
7944,Sonnenahalli,1340.0,2.0,42.0,3
7945,Other,1100.0,2.0,38.5,2
7946,Devarachikkanahalli,1700.0,3.0,71.0,3
7947,KR Puram,1096.0,2.0,43.0,2
7948,Other,1936.0,3.0,139.0,3
7949,Nehru Nagar,1269.0,2.0,63.0,3
7950,Panathur,1586.0,3.0,125.0,3
7951,Kanakpura Road,1452.0,3.0,56.5,3
7952,Hosa Road,1538.0,3.0,107.0,3
7953,Other,935.0,2.0,40.0,2
7954,Other,1220.0,2.0,65.0,2
7955,Harlur,1197.0,2.0,77.0,2
7956,Varthur,674.0,1.0,19.9,2
7957,Kengeri,410.0,1.0,15.0,1
7958,Thanisandra,1573.0,3.0,90.0,3
7959,Dodda Nekkundi,1135.0,2.0,58.0,2
7960,Other,1200.0,1.0,65.0,1
7961,Other,1800.0,3.0,95.0,3
7962,Other,2045.0,3.0,108.0,3
7963,Sonnenahalli,1268.0,2.0,56.0,2
7964,Kambipura,883.0,2.0,39.0,2
7965,Yelahanka,1600.0,3.0,100.0,3
7966,Thanisandra,1056.0,2.0,70.0,2
7967,Whitefield,4500.0,4.0,330.0,4
7968,KR Puram,1204.0,2.0,58.0,2
7969,Other,1410.0,2.0,54.0,3
7970,Hennur Road,1460.0,2.0,80.3,2
7971,Dodda Nekkundi,1100.0,2.0,41.18,2
7972,Other,1310.0,2.0,88.0,2
7973,Sector 2 HSR Layout,1600.0,3.0,90.0,3
7974,Other,1250.0,2.0,55.0,2
7975,Sarjapur  Road,1665.0,3.0,74.93,3
7976,Uttarahalli,1345.0,2.0,57.0,3
7977,Singasandra,1416.0,2.0,67.0,2
7978,HSR Layout,1145.0,2.0,46.0,2
7979,Jigani,1231.0,3.0,58.0,3
7980,Yelahanka,1664.0,3.0,73.95,3
7981,TC Palaya,2000.0,3.0,76.0,3
7982,Rajiv Nagar,972.0,2.0,43.0,2
7983,Other,4500.0,4.0,345.0,4
7984,Bellandur,1185.0,2.0,47.39,2
7985,Green Glen Layout,1750.0,3.0,81.0,3
7986,Balagere,1007.0,2.0,68.0,2
7987,Whitefield,1250.0,2.0,85.0,2
7988,Other,1200.0,2.0,54.0,2
7989,Horamavu Agara,994.0,2.0,42.28,2
7990,Ramamurthy Nagar,1150.0,2.0,40.0,2
7991,Thanisandra,1220.0,2.0,46.0,2
7992,Old Madras Road,1157.0,2.0,47.32,2
7993,Thigalarapalya,1400.0,2.0,105.0,2
7994,Tindlu,1370.07,3.0,65.0,3
7995,Judicial Layout,900.0,2.0,40.0,2
7996,Other,418.0,1.0,17.0,1
7997,Other,1200.0,3.0,80.0,3
7998,ISRO Layout,1200.0,2.0,43.0,2
7999,Talaghattapura,1062.0,2.0,42.48,2
8000,Kanakpura Road,1120.0,2.0,51.0,2
8001,Bannerghatta Road,1012.0,2.0,44.0,2
8002,Kanakpura Road,1430.0,2.0,78.0,2
8003,Channasandra,1195.0,2.0,56.0,3
8004,Bisuvanahalli,1075.0,2.0,42.0,3
8005,Hennur Road,1570.0,3.0,75.99,3
8006,Sonnenahalli,1011.0,2.0,59.0,2
8007,7th Phase JP Nagar,1450.0,2.0,102.0,3
8008,Sarjapur  Road,1129.0,2.0,69.0,2
8009,Sarjapura - Attibele Road,1126.0,2.0,36.0,2
8010,Sarjapur  Road,1180.0,2.0,45.0,3
8011,Hennur Road,1933.0,3.0,140.0,3
8012,TC Palaya,1082.0,2.0,64.0,2
8013,Other,610.0,1.0,28.0,1
8014,Kathriguppe,1300.0,3.0,77.99,3
8015,CV Raman Nagar,1125.0,2.0,46.0,2
8016,Kengeri Satellite Town,777.4,2.0,25.0,2
8017,Other,1864.0,3.0,120.0,3
8018,Whitefield,1115.0,2.0,51.91,2
8019,Kengeri,400.0,1.0,25.0,1
8020,Rajaji Nagar,1200.0,2.0,70.0,2
8021,Other,950.0,2.0,57.0,2
8022,Bellandur,1200.0,2.0,62.0,2
8023,GM Palaya,1735.0,3.0,70.0,3
8024,HSR Layout,1009.0,2.0,56.0,2
8025,Jalahalli,1470.0,2.0,102.0,3
8026,Bannerghatta Road,1527.0,3.0,115.0,3
8027,Other,985.0,2.0,45.0,2
8028,Chandapura,3300.0,4.0,135.0,4
8029,Whitefield,1277.0,2.0,77.0,2
8030,Other,1100.0,2.0,62.0,2
8031,Whitefield,1820.0,3.0,140.0,3
8032,Other,1530.0,3.0,87.0,4
8033,Hennur,1255.0,2.0,52.35,2
8034,Kanakpura Road,700.0,2.0,36.0,2
8035,Somasundara Palya,1140.0,2.0,46.0,2
8036,Whitefield,3453.0,4.0,247.0,4
8037,Uttarahalli,1490.0,2.0,59.6,3
8038,Sarjapur  Road,1850.0,3.0,140.0,3
8039,Kaikondrahalli,1250.0,2.0,78.0,2
8040,Other,2400.0,3.0,108.0,4
8041,Jalahalli,1244.0,2.0,88.0,2
8042,Sarjapur  Road,1034.0,2.0,38.0,2
8043,Kasavanhalli,1719.0,3.0,71.0,3
8044,7th Phase JP Nagar,1035.0,2.0,39.33,2
8045,Hosa Road,1470.0,2.0,84.22,3
8046,Yelahanka,1140.0,2.0,50.66,2
8047,Harlur,1752.12,3.0,125.0,3
8048,Old Madras Road,2990.0,3.0,170.0,3
8049,Bannerghatta Road,1660.0,3.0,85.0,3
8050,Electronic City,1275.0,3.0,63.43,3
8051,Bommasandra Industrial Area,1365.0,3.0,52.81,3
8052,Other,1200.0,2.0,90.0,3
8053,Kanakpura Road,2546.0,3.0,170.0,3
8054,Banashankari Stage VI,1392.0,3.0,69.46,3
8055,Whitefield,1245.0,2.0,59.76,2
8056,Yeshwanthpur,1162.0,2.0,64.08,2
8057,Singasandra,1476.0,2.0,73.0,3
8058,KR Puram,700.0,1.0,21.5,1
8059,Other,3600.0,6.0,170.0,6
8060,Jigani,943.0,2.0,48.0,2
8061,Sarjapur  Road,1113.0,2.0,44.5,2
8062,Varthur,1615.0,3.0,69.43,3
8063,Other,1279.0,2.0,100.0,2
8064,Other,1256.0,2.0,60.0,2
8065,Sompura,1350.0,3.0,65.0,3
8066,Other,1525.0,3.0,68.63,3
8067,Hebbal,1645.0,3.0,117.0,3
8068,Ardendale,1777.26,3.0,92.0,3
8069,Bisuvanahalli,845.0,2.0,32.0,2
8070,Varthur,1210.0,2.0,64.15,2
8071,Hosur Road,1250.0,2.0,50.0,3
8072,Marathahalli,1108.0,2.0,60.0,3
8073,Kanakpura Road,1401.0,3.0,69.0,3
8074,Sarjapur  Road,1157.0,2.0,75.0,3
8075,Other,1185.0,2.0,42.66,2
8076,Green Glen Layout,1751.0,3.0,115.0,3
8077,Bannerghatta Road,1880.0,3.0,96.5,3
8078,Whitefield,1322.5,3.0,40.985,3
8079,Channasandra,1175.0,2.0,38.0,2
8080,Jalahalli,1407.0,2.0,98.49,2
8081,Yelachenahalli,1000.0,2.0,50.0,2
8082,Electronic City,1518.0,3.0,75.0,3
8083,Tumkur Road,1027.0,2.0,67.0,2
8084,HSR Layout,1145.0,2.0,46.0,2
8085,Begur Road,1500.0,2.0,47.25,3
8086,Varthur,1737.0,2.0,57.32,3
8087,Hennur,3517.0,2.0,161.5,4
8088,Other,1120.0,2.0,60.0,2
8089,Hennur Road,1030.0,2.0,46.5,2
8090,Gubbalala,2500.0,6.0,88.0,6
8091,Kammasandra,1057.0,2.0,35.0,2
8092,Old Airport Road,2774.0,4.0,208.0,4
8093,Hormavu,1075.0,2.0,53.7,2
8094,Mysore Road,1080.0,2.0,60.0,3
8095,Singasandra,1139.7,2.0,45.0,2
8096,Whitefield,1074.0,2.0,42.8,2
8097,Whitefield,1200.0,2.0,46.13,2
8098,Sarjapur  Road,1323.0,2.0,74.0,2
8099,Hennur Road,1232.0,2.0,69.61,2
8100,Kalena Agrahara,900.0,2.0,40.0,2
8101,Sarjapura - Attibele Road,740.0,1.0,23.65,1
8102,Hebbal,1920.0,3.0,134.0,3
8103,Bannerghatta Road,1550.0,3.0,96.0,3
8104,Gunjur,1588.0,2.0,90.0,3
8105,Other,1308.0,2.0,86.0,2
8106,Hennur,1340.0,2.0,54.27,3
8107,Thanisandra,1719.0,3.0,135.0,3
8108,Horamavu Agara,1107.83,2.0,41.51,2
8109,Whitefield,1200.0,2.0,45.84,2
8110,Jakkur,1660.0,3.0,104.0,3
8111,Nagavara,1247.0,2.0,58.56,2
8112,Thanisandra,1595.0,3.0,96.0,3
8113,Kaggadasapura,1175.0,2.0,50.0,2
8114,Old Airport Road,1184.0,2.0,78.0,2
8115,Other,1100.0,2.0,55.0,2
8116,Yelahanka,1200.0,2.0,60.0,2
8117,Other,1000.0,2.0,45.0,2
8118,Uttarahalli,1000.0,2.0,52.0,2
8119,Yelahanka,1705.0,3.0,85.0,3
8120,Tumkur Road,1060.0,2.0,58.3,3
8121,Chikka Tirupathi,2325.0,4.0,120.0,4
8122,Other,1347.0,2.0,55.0,3
8123,Varthur,1402.0,2.0,95.0,2
8124,Other,1225.0,2.0,71.05,2
8125,5th Phase JP Nagar,1080.0,2.0,53.0,2
8126,Begur Road,1100.0,2.0,42.6,2
8127,Bannerghatta Road,1200.0,2.0,78.0,2
8128,Begur Road,1565.0,2.0,57.91,3
8129,Kothanur,1581.0,3.0,76.0,3
8130,Abbigere,985.0,2.0,38.92,2
8131,Sarjapur,950.0,2.0,35.0,2
8132,Other,1339.0,2.0,55.0,2
8133,Other,1449.0,3.0,72.0,3
8134,Other,1100.0,2.0,38.68,2
8135,Kaval Byrasandra,2700.0,3.0,200.0,3
8136,Other,1100.0,2.0,55.0,2
8137,Chandapura,800.0,1.0,30.0,2
8138,Chikkabanavar,2000.0,4.0,65.0,5
8139,Other,1300.0,2.0,95.0,2
8140,Kanakpura Road,1220.0,2.0,60.0,2
8141,Sarjapur  Road,2289.0,3.0,178.0,3
8142,Whitefield,1170.0,2.0,56.0,2
8143,Other,1350.0,2.0,89.5,2
8144,Kambipura,883.0,2.0,45.0,2
8145,Thanisandra,1698.0,3.0,125.0,3
8146,Electronic City Phase II,2187.5,4.0,105.0,4
8147,Ambalipura,1060.0,2.0,58.5,2
8148,Somasundara Palya,1185.0,2.0,75.0,2
8149,Vittasandra,1404.0,2.0,72.0,2
8150,Electronic City Phase II,1252.0,2.0,67.0,2
8151,Bannerghatta Road,1885.0,3.0,125.0,3
8152,Kaikondrahalli,3381.0,6.0,225.0,6
8153,Hormavu,980.0,2.0,42.0,2
8154,Banashankari,1420.0,3.0,66.0,3
8155,Other,2312.0,3.0,156.0,3
8156,Kaggadasapura,3000.0,4.0,130.0,4
8157,Other,1175.0,2.0,70.0,2
8158,Other,1145.0,2.0,51.0,2
8159,Bhoganhalli,970.0,2.0,52.5,2
8160,Whitefield,1639.5,3.0,92.63,3
8161,9th Phase JP Nagar,5000.0,4.0,300.0,4
8162,Ramagondanahalli,1635.0,3.0,57.0,3
8163,Kathriguppe,1335.0,2.0,73.43,3
8164,Yeshwanthpur,1166.0,2.0,64.08,2
8165,Shivaji Nagar,1460.0,2.0,90.0,3
8166,Other,1690.0,3.0,50.0,3
8167,Other,1386.0,3.0,93.0,4
8168,Other,1090.0,2.0,32.0,2
8169,Thanisandra,1732.0,3.0,85.73,3
8170,Whitefield,1390.0,2.0,72.0,2
8171,Sector 2 HSR Layout,1095.0,2.0,85.41,2
8172,Kengeri,416.0,1.0,17.19,1
8173,Yelahanka,1350.0,2.0,85.0,3
8174,Bannerghatta Road,1453.0,2.0,73.0,3
8175,Thanisandra,1226.0,2.0,65.0,2
8176,Hegde Nagar,1168.0,2.0,68.0,3
8177,Bannerghatta,1776.0,3.0,124.0,3
8178,Whitefield,1634.0,3.0,68.0,3
8179,Hormavu,860.0,2.0,56.0,2
8180,Nagasandra,1650.0,3.0,95.0,3
8181,Whitefield,1190.0,2.0,70.0,2
8182,JP Nagar,1133.0,2.0,33.99,2
8183,Other,1559.0,3.0,62.0,3
8184,Kodichikkanahalli,976.0,2.0,50.0,2
